"FL_DATE","CARRIER","ORIGIN","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY_NEW","CRS_ARR_TIME","ARR_TIME","CANCELLED","CANCELLATION_CODE",
2017-02-01,"HA","KOA","HNL","0952","0950",0.00,"1038","1031",0.00,"",
2017-02-01,"HA","HNL","KOA","0837","0831",0.00,"0922","0921",0.00,"",
2017-02-01,"HA","ITO","HNL","0850","0843",0.00,"0942","0932",0.00,"",
2017-02-01,"HA","HNL","ITO","0729","0719",0.00,"0821","0814",0.00,"",
2017-02-01,"HA","HNL","LIH","0725","0719",0.00,"0804","0806",0.00,"",
2017-02-01,"HA","LIH","HNL","0832","0831",0.00,"0908","0914",0.00,"",
2017-02-01,"HA","OGG","HNL","2002","1957",0.00,"2038","2030",0.00,"",
2017-02-01,"HA","OGG","ITO","0910","0905",0.00,"0949","0940",0.00,"",
2017-02-01,"HA","OGG","HNL","1558","1557",0.00,"1636","1633",0.00,"",
2017-02-01,"HA","KOA","HNL","1445","1447",2.00,"1533","1528",0.00,"",
2017-02-01,"HA","HNL","KOA","1330","1329",0.00,"1415","1420",0.00,"",
2017-02-01,"HA","KOA","OGG","1309","1311",2.00,"1345","1345",0.00,"",
2017-02-01,"HA","ITO","HNL","1716","1719",3.00,"1808","1808",0.00,"",
2017-02-01,"HA","HNL","ITO","1629","1626",0.00,"1721","1725",0.00,"",
2017-02-01,"HA","HNL","LIH","1147","1141",0.00,"1228","1221",0.00,"",
2017-02-01,"HA","LIH","HNL","1133","1129",0.00,"1207","1202",0.00,"",
2017-02-01,"HA","OGG","HNL","0851","0901",10.00,"0929","0937",0.00,"",
2017-02-01,"HA","OGG","HNL","0951","0949",0.00,"1029","1029",0.00,"",
2017-02-01,"HA","ITO","HNL","1018","1010",0.00,"1110","1103",0.00,"",
2017-02-01,"HA","OGG","ITO","1350","1357",7.00,"1429","1439",0.00,"",
2017-02-01,"HA","LIH","HNL","1515","1515",0.00,"1551","1550",0.00,"",
2017-02-01,"HA","OGG","HNL","0821","0814",0.00,"0859","0849",0.00,"",
2017-02-01,"HA","HNL","OGG","0715","0708",0.00,"0753","0747",0.00,"",
2017-02-01,"HA","OGG","HNL","1029","1026",0.00,"1106","1101",0.00,"",
2017-02-01,"HA","OGG","HNL","1221","1220",0.00,"1300","1257",0.00,"",
2017-02-01,"HA","HNL","OGG","1407","1408",1.00,"1447","1450",0.00,"",
2017-02-01,"HA","HNL","KOA","1007","1006",0.00,"1051","1055",0.00,"",
2017-02-01,"HA","HNL","LIH","1405","1410",5.00,"1447","1451",0.00,"",
2017-02-01,"HA","LIH","HNL","1443","1441",0.00,"1520","1514",0.00,"",
2017-02-01,"HA","HNL","LIH","1335","1334",0.00,"1415","1415",0.00,"",
2017-02-01,"HA","KOA","HNL","1239","1237",0.00,"1325","1320",0.00,"",
2017-02-01,"HA","HNL","KOA","1537","1542",5.00,"1623","1634",0.00,"",
2017-02-01,"HA","ITO","OGG","1750","1749",0.00,"1831","1831",0.00,"",
2017-02-01,"HA","KOA","HNL","1653","1658",5.00,"1740","1742",0.00,"",
2017-02-01,"HA","LIH","HNL","1630","1622",0.00,"1706","1653",0.00,"",
2017-02-01,"HA","ITO","HNL","1323","1314",0.00,"1415","1408",0.00,"",
2017-02-01,"HA","HNL","ITO","1555","1557",2.00,"1647","1654",0.00,"",
2017-02-01,"HA","HNL","OGG","1823","1814",0.00,"1902","1848",0.00,"",
2017-02-01,"HA","OGG","HNL","1930","1917",0.00,"2008","1947",0.00,"",
2017-02-01,"HA","ITO","HNL","0714","0711",0.00,"0805","0810",0.00,"",
2017-02-01,"HA","HNL","ITO","0555","0549",0.00,"0645","0646",0.00,"",
2017-02-01,"HA","HNL","LIH","1246","1246",0.00,"1328","1325",0.00,"",
2017-02-01,"HA","OGG","HNL","0609","0605",0.00,"0646","0642",0.00,"",
2017-02-01,"HA","HNL","OGG","0504","0501",0.00,"0541","0539",0.00,"",
2017-02-01,"HA","KOA","HNL","1121","1123",2.00,"1209","1208",0.00,"",
2017-02-01,"HA","HNL","KOA","1053","1048",0.00,"1137","1142",0.00,"",
2017-02-01,"HA","OGG","LIH","1137","1135",0.00,"1226","1226",0.00,"",
2017-02-01,"HA","HNL","LIH","1720","1716",0.00,"1759","1751",0.00,"",
2017-02-01,"HA","LIH","HNL","1827","1817",0.00,"1902","1906",0.00,"",
