FL_DATE,ABE,ABI,ABQ,ABR,ABY,ACK,ACT,ACV,ACY,ADK,ADQ,AEX,AGS,AKN,ALB,ALO,AMA,ANC,APN,ASE,ATL,ATW,AUS,AVL,AVP,AZO,BDL,BET,BFF,BFL,BGM,BGR,BHM,BIL,BIS,BJI,BLI,BMI,BNA,BOI,BOS,BPT,BQK,BQN,BRD,BRO,BRW,BTM,BTR,BTV,BUF,BUR,BWI,BZN,CAE,CAK,CDC,CDV,CHA,CHO,CHS,CID,CIU,CKB,CLE,CLL,CLT,CMH,CMI,CMX,COD,COS,COU,CPR,CRP,CRW,CSG,CVG,CWA,DAB,DAL,DAY,DBQ,DCA,DEN,DFW,DHN,DLG,DLH,DRO,DSM,DTW,DVL,EAU,ECP,EFD,EGE,EKO,ELM,ELP,ENV,ERI,ESC,EUG,EVV,EWN,EWR,EYW,FAI,FAR,FAT,FAY,FCA,FLG,FLL,FNT,FSD,FSM,FWA,GCC,GCK,GEG,GFK,GGG,GJT,GNV,GPT,GRB,GRI,GRK,GRR,GSO,GSP,GST,GTF,GTR,GUC,GUM,HDN,HIB,HLN,HNL,HOB,HOU,HPN,HRL,HSV,HYA,HYS,IAD,IAG,IAH,ICT,IDA,IFP,ILM,IMT,IND,INL,ISN,ISP,ITH,ITO,JAC,JAN,JAX,JFK,JLN,JMS,JNU,KOA,KTN,LAN,LAR,LAS,LAW,LAX,LBB,LBE,LCH,LEX,LFT,LGA,LGB,LIH,LIT,LNK,LRD,LSE,LWS,MAF,MBS,MCI,MCO,MDT,MDW,MEI,MEM,MFE,MFR,MGM,MHK,MHT,MIA,MKE,MKG,MLB,MLI,MLU,MMH,MOB,MOT,MQT,MRY,MSN,MSO,MSP,MSY,MTJ,MVY,MYR,OAJ,OAK,OGG,OKC,OMA,OME,ONT,ORD,ORF,ORH,OTH,OTZ,PAH,PBG,PBI,PDX,PGD,PHF,PHL,PHX,PIA,PIB,PIH,PIT,PLN,PNS,PPG,PSC,PSE,PSG,PSP,PVD,PWM,RAP,RDD,RDM,RDU,RHI,RIC,RKS,RNO,ROA,ROC,ROW,RST,RSW,SAF,SAN,SAT,SAV,SBA,SBN,SBP,SCC,SCE,SDF,SEA,SFO,SGF,SGU,SHV,SIT,SJC,SJT,SJU,SLC,SMF,SMX,SNA,SPI,SPN,SPS,SRQ,STL,STS,STT,STX,SUN,SUX,SWF,SYR,TKI,TLH,TOL,TPA,TRI,TTN,TUL,TUS,TVC,TWF,TXK,TYR,TYS,UST,VLD,VPS,WRG,WYS,XNA,YAK,YUM
2015-12-01,8.0,7.0,55.0,2.0,3.0,,5.0,4.0,8.0,,1.0,9.0,8.0,,24.0,2.0,9.0,38.0,2.0,1.0,1072.0,8.0,130.0,7.0,5.0,6.0,57.0,3.0,,9.0,2.0,1.0,36.0,9.0,10.0,2.0,3.0,9.0,147.0,38.0,331.0,3.0,3.0,4.0,2.0,6.0,3.0,2.0,22.0,11.0,55.0,60.0,268.0,8.0,16.0,19.0,2.0,2.0,15.0,7.0,40.0,18.0,2.0,,102.0,7.0,281.0,77.0,7.0,2.0,1.0,17.0,4.0,3.0,11.0,8.0,3.0,56.0,5.0,4.0,201.0,26.0,3.0,233.0,561.0,664.0,4.0,,6.0,5.0,26.0,347.0,1.0,2.0,11.0,,1.0,2.0,7.0,37.0,,2.0,2.0,10.0,14.0,2.0,323.0,7.0,6.0,18.0,19.0,6.0,4.0,4.0,225.0,14.0,15.0,6.0,15.0,3.0,2.0,29.0,3.0,2.0,8.0,8.0,8.0,15.0,2.0,11.0,31.0,18.0,20.0,,4.0,3.0,,1.0,,3.0,4.0,118.0,1.0,164.0,22.0,8.0,11.0,,2.0,94.0,1.0,390.0,24.0,7.0,,7.0,2.0,86.0,2.0,6.0,13.0,,17.0,5.0,22.0,58.0,263.0,2.0,2.0,11.0,27.0,6.0,8.0,2.0,395.0,4.0,549.0,14.0,2.0,6.0,18.0,12.0,285.0,24.0,28.0,32.0,9.0,7.0,7.0,2.0,18.0,5.0,121.0,328.0,11.0,240.0,3.0,49.0,6.0,8.0,11.0,5.0,18.0,197.0,94.0,2.0,4.0,10.0,10.0,,16.0,7.0,1.0,8.0,26.0,6.0,343.0,119.0,1.0,,7.0,3.0,137.0,56.0,49.0,53.0,2.0,54.0,872.0,28.0,2.0,,2.0,2.0,1.0,73.0,142.0,,4.0,194.0,437.0,17.0,2.0,2.0,72.0,2.0,15.0,,10.0,2.0,2.0,29.0,36.0,12.0,7.0,2.0,7.0,97.0,3.0,44.0,2.0,35.0,7.0,24.0,2.0,7.0,84.0,3.0,199.0,88.0,20.0,16.0,12.0,7.0,3.0,2.0,29.0,328.0,454.0,18.0,6.0,19.0,3.0,114.0,5.0,72.0,276.0,109.0,2.0,120.0,5.0,,3.0,10.0,149.0,,9.0,2.0,2.0,2.0,2.0,21.0,,10.0,3.0,192.0,7.0,8.0,41.0,43.0,6.0,2.0,3.0,8.0,21.0,,3.0,13.0,2.0,,30.0,2.0,6.0
2015-12-02,6.0,7.0,55.0,2.0,3.0,,5.0,4.0,8.0,,1.0,9.0,8.0,,27.0,2.0,7.0,37.0,2.0,4.0,1066.0,8.0,130.0,6.0,5.0,7.0,57.0,3.0,,9.0,3.0,1.0,36.0,8.0,9.0,2.0,4.0,9.0,150.0,39.0,329.0,3.0,3.0,4.0,2.0,5.0,2.0,2.0,22.0,14.0,53.0,60.0,271.0,8.0,16.0,18.0,2.0,2.0,15.0,7.0,37.0,21.0,2.0,,97.0,7.0,320.0,75.0,7.0,2.0,1.0,19.0,4.0,2.0,11.0,7.0,3.0,57.0,5.0,4.0,201.0,27.0,3.0,233.0,569.0,671.0,4.0,,7.0,6.0,26.0,356.0,2.0,2.0,11.0,,1.0,2.0,7.0,33.0,,2.0,2.0,10.0,14.0,2.0,347.0,8.0,5.0,17.0,17.0,6.0,4.0,5.0,226.0,14.0,14.0,6.0,16.0,3.0,2.0,29.0,4.0,2.0,9.0,9.0,8.0,13.0,2.0,11.0,29.0,18.0,23.0,,6.0,3.0,,1.0,,3.0,4.0,120.0,1.0,164.0,21.0,9.0,13.0,,2.0,94.0,1.0,392.0,23.0,7.0,,7.0,2.0,86.0,2.0,7.0,13.0,,16.0,5.0,22.0,59.0,257.0,2.0,3.0,11.0,29.0,6.0,8.0,2.0,389.0,4.0,547.0,14.0,2.0,6.0,18.0,14.0,282.0,22.0,28.0,30.0,8.0,7.0,7.0,2.0,20.0,5.0,119.0,323.0,9.0,239.0,3.0,45.0,8.0,8.0,11.0,5.0,20.0,203.0,94.0,2.0,4.0,7.0,9.0,,16.0,6.0,1.0,8.0,27.0,4.0,344.0,118.0,1.0,,7.0,3.0,134.0,58.0,51.0,52.0,2.0,52.0,858.0,29.0,2.0,,2.0,2.0,1.0,68.0,148.0,,4.0,199.0,426.0,17.0,2.0,2.0,75.0,2.0,15.0,,10.0,2.0,2.0,26.0,38.0,13.0,5.0,2.0,7.0,100.0,3.0,48.0,2.0,35.0,8.0,23.0,3.0,7.0,79.0,3.0,196.0,85.0,19.0,17.0,14.0,7.0,2.0,2.0,29.0,329.0,450.0,18.0,5.0,19.0,3.0,115.0,5.0,68.0,279.0,110.0,2.0,121.0,4.0,,3.0,10.0,149.0,,10.0,2.0,2.0,2.0,2.0,23.0,,10.0,3.0,191.0,7.0,9.0,40.0,41.0,7.0,2.0,3.0,8.0,18.0,1.0,3.0,13.0,2.0,,29.0,2.0,6.0
2015-12-03,7.0,7.0,54.0,2.0,3.0,,5.0,4.0,10.0,1.0,1.0,10.0,8.0,,27.0,2.0,8.0,41.0,2.0,5.0,1079.0,8.0,134.0,6.0,5.0,7.0,58.0,3.0,,9.0,3.0,1.0,37.0,7.0,11.0,2.0,2.0,9.0,149.0,39.0,337.0,3.0,3.0,3.0,2.0,7.0,2.0,2.0,22.0,14.0,56.0,61.0,273.0,7.0,17.0,18.0,2.0,2.0,15.0,7.0,36.0,21.0,2.0,,103.0,8.0,325.0,75.0,7.0,2.0,1.0,22.0,4.0,3.0,12.0,8.0,3.0,63.0,5.0,4.0,202.0,27.0,3.0,238.0,591.0,685.0,4.0,,7.0,8.0,27.0,360.0,2.0,2.0,11.0,,1.0,2.0,7.0,34.0,,2.0,2.0,10.0,14.0,2.0,359.0,8.0,5.0,18.0,18.0,6.0,4.0,5.0,233.0,14.0,14.0,6.0,16.0,3.0,2.0,29.0,4.0,2.0,9.0,9.0,9.0,13.0,2.0,12.0,29.0,19.0,24.0,,6.0,3.0,,1.0,,3.0,4.0,122.0,2.0,164.0,22.0,10.0,14.0,,2.0,94.0,1.0,444.0,24.0,7.0,,7.0,2.0,88.0,2.0,7.0,13.0,,17.0,5.0,22.0,59.0,263.0,2.0,3.0,11.0,29.0,6.0,8.0,2.0,401.0,4.0,562.0,15.0,3.0,7.0,19.0,16.0,286.0,25.0,29.0,31.0,8.0,7.0,7.0,2.0,20.0,5.0,121.0,336.0,9.0,239.0,3.0,44.0,7.0,8.0,11.0,5.0,21.0,213.0,94.0,2.0,4.0,10.0,9.0,,17.0,6.0,1.0,8.0,26.0,6.0,349.0,120.0,,,7.0,3.0,135.0,59.0,53.0,52.0,2.0,53.0,885.0,31.0,2.0,1.0,2.0,2.0,1.0,69.0,149.0,,4.0,201.0,431.0,17.0,2.0,2.0,78.0,2.0,15.0,,10.0,2.0,2.0,27.0,38.0,14.0,5.0,2.0,7.0,101.0,3.0,53.0,2.0,35.0,8.0,24.0,3.0,7.0,86.0,3.0,207.0,92.0,19.0,17.0,14.0,7.0,2.0,2.0,29.0,331.0,464.0,19.0,5.0,18.0,3.0,118.0,5.0,72.0,291.0,112.0,2.0,127.0,5.0,,3.0,10.0,148.0,,10.0,2.0,2.0,2.0,2.0,23.0,,10.0,3.0,196.0,7.0,9.0,42.0,44.0,6.0,2.0,3.0,8.0,19.0,,3.0,13.0,2.0,,29.0,2.0,6.0
2015-12-04,7.0,7.0,53.0,2.0,3.0,,5.0,4.0,10.0,,1.0,10.0,8.0,,27.0,2.0,7.0,40.0,2.0,5.0,1074.0,8.0,137.0,7.0,5.0,7.0,57.0,3.0,,9.0,3.0,1.0,37.0,7.0,10.0,2.0,4.0,9.0,149.0,39.0,338.0,3.0,3.0,4.0,2.0,7.0,3.0,2.0,22.0,14.0,55.0,61.0,265.0,8.0,17.0,18.0,2.0,2.0,15.0,7.0,38.0,20.0,2.0,,103.0,8.0,329.0,74.0,7.0,2.0,1.0,22.0,4.0,3.0,11.0,8.0,3.0,62.0,5.0,4.0,199.0,27.0,3.0,238.0,586.0,685.0,4.0,,7.0,8.0,28.0,359.0,2.0,2.0,11.0,,1.0,2.0,7.0,34.0,,2.0,2.0,10.0,13.0,2.0,355.0,8.0,5.0,18.0,18.0,6.0,4.0,5.0,233.0,14.0,14.0,6.0,16.0,3.0,2.0,29.0,4.0,2.0,9.0,9.0,9.0,13.0,2.0,12.0,29.0,20.0,24.0,,6.0,3.0,,1.0,,3.0,4.0,130.0,2.0,159.0,22.0,10.0,14.0,,2.0,94.0,1.0,443.0,25.0,7.0,,7.0,2.0,90.0,2.0,7.0,13.0,,17.0,5.0,22.0,59.0,257.0,2.0,3.0,11.0,31.0,6.0,8.0,2.0,401.0,4.0,556.0,15.0,3.0,7.0,18.0,16.0,285.0,25.0,33.0,31.0,8.0,7.0,7.0,2.0,19.0,5.0,120.0,337.0,9.0,232.0,3.0,46.0,7.0,8.0,11.0,5.0,21.0,211.0,91.0,2.0,4.0,10.0,9.0,,17.0,6.0,1.0,8.0,27.0,5.0,348.0,118.0,,,7.0,3.0,130.0,62.0,54.0,53.0,2.0,53.0,883.0,30.0,2.0,1.0,2.0,2.0,1.0,69.0,148.0,,4.0,201.0,429.0,17.0,2.0,2.0,78.0,2.0,15.0,1.0,10.0,2.0,2.0,27.0,38.0,14.0,5.0,2.0,7.0,102.0,3.0,53.0,2.0,35.0,8.0,24.0,3.0,7.0,84.0,3.0,199.0,91.0,19.0,17.0,14.0,7.0,3.0,2.0,29.0,330.0,461.0,19.0,5.0,19.0,3.0,118.0,5.0,71.0,291.0,108.0,2.0,126.0,5.0,,3.0,10.0,146.0,,11.0,2.0,2.0,2.0,2.0,23.0,,10.0,3.0,193.0,7.0,9.0,43.0,44.0,6.0,2.0,3.0,8.0,18.0,1.0,3.0,13.0,2.0,,29.0,2.0,6.0
2015-12-05,3.0,5.0,36.0,2.0,2.0,,4.0,4.0,10.0,,1.0,6.0,6.0,,18.0,1.0,7.0,38.0,1.0,5.0,757.0,6.0,103.0,4.0,3.0,4.0,42.0,2.0,,5.0,2.0,,23.0,4.0,6.0,2.0,2.0,5.0,106.0,31.0,219.0,2.0,2.0,3.0,1.0,5.0,3.0,2.0,15.0,7.0,44.0,44.0,208.0,6.0,8.0,13.0,1.0,2.0,8.0,5.0,30.0,14.0,2.0,,70.0,6.0,246.0,52.0,5.0,2.0,1.0,15.0,4.0,3.0,8.0,5.0,2.0,32.0,4.0,3.0,148.0,14.0,2.0,154.0,438.0,520.0,3.0,,6.0,5.0,17.0,248.0,1.0,2.0,10.0,,1.0,1.0,5.0,26.0,,1.0,1.0,7.0,9.0,1.0,204.0,8.0,5.0,11.0,15.0,4.0,4.0,3.0,232.0,10.0,9.0,5.0,10.0,2.0,2.0,23.0,3.0,1.0,6.0,6.0,8.0,8.0,1.0,9.0,21.0,12.0,13.0,,4.0,2.0,,1.0,,2.0,4.0,123.0,1.0,116.0,18.0,9.0,9.0,,1.0,70.0,1.0,312.0,18.0,4.0,,5.0,2.0,60.0,1.0,5.0,12.0,,15.0,5.0,12.0,39.0,236.0,2.0,1.0,10.0,32.0,6.0,6.0,1.0,362.0,4.0,439.0,12.0,3.0,4.0,10.0,11.0,154.0,22.0,32.0,18.0,6.0,5.0,4.0,1.0,12.0,3.0,87.0,345.0,7.0,200.0,2.0,30.0,5.0,7.0,6.0,4.0,19.0,206.0,65.0,2.0,3.0,6.0,5.0,,9.0,4.0,,5.0,17.0,3.0,230.0,94.0,2.0,,7.0,2.0,108.0,66.0,37.0,33.0,2.0,43.0,591.0,22.0,2.0,,2.0,2.0,1.0,56.0,117.0,,2.0,159.0,338.0,12.0,1.0,1.0,53.0,2.0,11.0,,8.0,2.0,2.0,25.0,30.0,11.0,3.0,2.0,5.0,73.0,2.0,29.0,1.0,28.0,4.0,17.0,2.0,5.0,89.0,2.0,164.0,70.0,15.0,10.0,9.0,8.0,3.0,1.0,17.0,279.0,339.0,14.0,4.0,12.0,3.0,78.0,5.0,78.0,212.0,81.0,2.0,89.0,4.0,,3.0,9.0,105.0,,16.0,2.0,2.0,1.0,2.0,15.0,,6.0,1.0,167.0,3.0,9.0,28.0,37.0,6.0,2.0,2.0,4.0,13.0,1.0,2.0,9.0,2.0,,17.0,2.0,4.0
2015-12-06,6.0,6.0,51.0,2.0,3.0,,5.0,4.0,10.0,1.0,1.0,10.0,7.0,,25.0,2.0,7.0,37.0,1.0,5.0,1013.0,8.0,125.0,7.0,3.0,6.0,51.0,2.0,,7.0,2.0,,35.0,8.0,11.0,2.0,4.0,9.0,141.0,38.0,281.0,3.0,3.0,3.0,1.0,7.0,2.0,2.0,20.0,10.0,47.0,53.0,250.0,7.0,15.0,15.0,1.0,2.0,13.0,6.0,36.0,17.0,2.0,,92.0,7.0,291.0,69.0,7.0,2.0,1.0,19.0,4.0,3.0,9.0,7.0,3.0,50.0,5.0,4.0,181.0,20.0,3.0,219.0,564.0,643.0,4.0,,6.0,8.0,25.0,336.0,1.0,2.0,10.0,,1.0,1.0,7.0,34.0,,2.0,1.0,10.0,11.0,2.0,290.0,8.0,5.0,16.0,18.0,6.0,4.0,5.0,228.0,12.0,13.0,6.0,16.0,3.0,2.0,27.0,3.0,2.0,9.0,9.0,9.0,12.0,2.0,10.0,29.0,15.0,19.0,,4.0,3.0,1.0,1.0,,2.0,3.0,122.0,2.0,154.0,19.0,8.0,12.0,,1.0,91.0,1.0,402.0,25.0,7.0,,8.0,1.0,81.0,1.0,6.0,12.0,,14.0,5.0,20.0,54.0,256.0,2.0,2.0,11.0,30.0,6.0,9.0,1.0,397.0,4.0,527.0,15.0,3.0,6.0,15.0,15.0,233.0,25.0,30.0,31.0,8.0,6.0,7.0,2.0,19.0,5.0,109.0,333.0,8.0,219.0,2.0,40.0,5.0,8.0,10.0,5.0,18.0,214.0,83.0,2.0,4.0,8.0,8.0,,15.0,5.0,1.0,8.0,23.0,6.0,328.0,116.0,1.0,,7.0,3.0,125.0,62.0,46.0,47.0,2.0,49.0,798.0,28.0,2.0,1.0,2.0,2.0,1.0,67.0,142.0,,4.0,184.0,413.0,14.0,1.0,2.0,65.0,2.0,14.0,,10.0,2.0,2.0,28.0,34.0,11.0,6.0,2.0,7.0,95.0,3.0,45.0,2.0,33.0,7.0,24.0,3.0,7.0,87.0,3.0,196.0,84.0,18.0,17.0,13.0,7.0,2.0,2.0,27.0,320.0,431.0,18.0,5.0,18.0,3.0,104.0,4.0,79.0,284.0,102.0,2.0,110.0,5.0,,3.0,10.0,127.0,,12.0,3.0,2.0,2.0,2.0,22.0,,10.0,3.0,187.0,6.0,9.0,37.0,43.0,5.0,2.0,3.0,7.0,18.0,,3.0,13.0,2.0,,20.0,2.0,6.0
2015-12-07,7.0,7.0,54.0,2.0,3.0,,5.0,4.0,10.0,,1.0,10.0,8.0,,26.0,2.0,8.0,41.0,2.0,5.0,1072.0,9.0,133.0,7.0,5.0,7.0,57.0,3.0,,8.0,3.0,,37.0,7.0,10.0,2.0,2.0,9.0,148.0,38.0,335.0,3.0,3.0,4.0,2.0,6.0,3.0,2.0,22.0,13.0,55.0,60.0,266.0,8.0,17.0,18.0,2.0,2.0,15.0,7.0,37.0,20.0,2.0,,103.0,8.0,286.0,75.0,7.0,2.0,1.0,22.0,4.0,3.0,12.0,8.0,3.0,62.0,5.0,4.0,202.0,27.0,3.0,237.0,587.0,683.0,4.0,,7.0,7.0,28.0,358.0,2.0,2.0,11.0,,1.0,2.0,7.0,34.0,,2.0,2.0,10.0,14.0,2.0,352.0,8.0,5.0,18.0,18.0,6.0,4.0,5.0,232.0,14.0,14.0,6.0,16.0,3.0,2.0,30.0,4.0,2.0,9.0,9.0,9.0,13.0,2.0,12.0,29.0,20.0,24.0,,6.0,3.0,,1.0,,3.0,4.0,121.0,2.0,163.0,22.0,10.0,14.0,,2.0,94.0,1.0,431.0,24.0,7.0,,7.0,2.0,87.0,2.0,7.0,13.0,,17.0,5.0,22.0,58.0,262.0,2.0,3.0,11.0,29.0,6.0,8.0,2.0,393.0,4.0,555.0,15.0,3.0,7.0,19.0,15.0,285.0,25.0,29.0,30.0,8.0,7.0,7.0,2.0,20.0,5.0,118.0,333.0,9.0,237.0,3.0,44.0,7.0,8.0,11.0,5.0,21.0,208.0,91.0,2.0,4.0,10.0,9.0,,17.0,6.0,1.0,8.0,27.0,5.0,347.0,118.0,,,7.0,3.0,131.0,60.0,53.0,52.0,2.0,52.0,888.0,29.0,2.0,1.0,2.0,2.0,1.0,67.0,147.0,,4.0,199.0,390.0,17.0,2.0,2.0,73.0,2.0,15.0,1.0,10.0,2.0,2.0,26.0,36.0,14.0,5.0,2.0,7.0,97.0,3.0,51.0,2.0,33.0,8.0,23.0,3.0,8.0,84.0,3.0,203.0,89.0,20.0,16.0,14.0,7.0,3.0,2.0,29.0,331.0,455.0,19.0,5.0,19.0,3.0,116.0,5.0,72.0,288.0,108.0,2.0,126.0,5.0,,3.0,10.0,147.0,,10.0,3.0,2.0,2.0,2.0,22.0,,10.0,3.0,193.0,7.0,9.0,41.0,42.0,5.0,2.0,3.0,8.0,18.0,1.0,3.0,13.0,2.0,,29.0,2.0,5.0
2015-12-08,6.0,7.0,53.0,2.0,3.0,,5.0,4.0,8.0,,1.0,9.0,8.0,,26.0,2.0,8.0,38.0,2.0,5.0,1061.0,8.0,128.0,7.0,5.0,8.0,57.0,3.0,,8.0,3.0,1.0,36.0,7.0,11.0,2.0,3.0,9.0,149.0,38.0,323.0,3.0,3.0,3.0,2.0,6.0,3.0,2.0,22.0,13.0,53.0,61.0,264.0,7.0,16.0,18.0,2.0,2.0,15.0,7.0,35.0,20.0,2.0,,98.0,7.0,280.0,73.0,7.0,2.0,1.0,18.0,4.0,3.0,11.0,8.0,3.0,58.0,5.0,4.0,201.0,26.0,3.0,233.0,564.0,662.0,4.0,,7.0,6.0,25.0,356.0,1.0,2.0,11.0,,1.0,2.0,7.0,34.0,,2.0,2.0,10.0,14.0,2.0,338.0,8.0,5.0,17.0,17.0,6.0,4.0,4.0,220.0,14.0,14.0,6.0,15.0,3.0,2.0,29.0,4.0,2.0,9.0,9.0,8.0,13.0,2.0,11.0,31.0,17.0,25.0,,5.0,3.0,,1.0,,3.0,4.0,115.0,1.0,164.0,21.0,9.0,13.0,,2.0,91.0,1.0,384.0,25.0,7.0,,7.0,2.0,84.0,2.0,7.0,13.0,,16.0,5.0,21.0,57.0,248.0,2.0,2.0,11.0,27.0,6.0,8.0,2.0,385.0,4.0,540.0,14.0,2.0,6.0,18.0,14.0,283.0,22.0,29.0,30.0,8.0,7.0,7.0,2.0,19.0,5.0,118.0,321.0,9.0,232.0,3.0,43.0,7.0,8.0,11.0,5.0,20.0,201.0,93.0,2.0,4.0,9.0,9.0,,16.0,6.0,1.0,8.0,26.0,5.0,334.0,111.0,,,7.0,3.0,132.0,58.0,50.0,50.0,2.0,51.0,856.0,28.0,2.0,,2.0,2.0,1.0,66.0,139.0,,4.0,197.0,387.0,17.0,2.0,2.0,73.0,2.0,15.0,,10.0,2.0,2.0,24.0,37.0,13.0,4.0,2.0,7.0,96.0,3.0,47.0,2.0,35.0,8.0,23.0,2.0,7.0,80.0,3.0,193.0,86.0,19.0,16.0,14.0,7.0,3.0,2.0,28.0,317.0,443.0,19.0,5.0,18.0,3.0,114.0,5.0,68.0,274.0,105.0,2.0,120.0,5.0,,3.0,10.0,147.0,,9.0,2.0,2.0,2.0,2.0,22.0,,10.0,3.0,187.0,7.0,9.0,39.0,39.0,6.0,2.0,3.0,8.0,19.0,,3.0,13.0,2.0,,29.0,2.0,5.0
2015-12-09,6.0,7.0,53.0,2.0,3.0,,5.0,4.0,8.0,,1.0,9.0,8.0,,27.0,2.0,8.0,37.0,2.0,5.0,1062.0,8.0,129.0,7.0,5.0,10.0,56.0,3.0,,9.0,3.0,1.0,36.0,7.0,10.0,2.0,4.0,9.0,150.0,39.0,326.0,3.0,3.0,4.0,2.0,6.0,2.0,2.0,22.0,13.0,54.0,61.0,266.0,8.0,16.0,18.0,2.0,2.0,15.0,7.0,37.0,19.0,2.0,,97.0,7.0,324.0,73.0,7.0,2.0,1.0,19.0,4.0,3.0,11.0,8.0,3.0,58.0,5.0,4.0,201.0,27.0,3.0,234.0,570.0,672.0,4.0,,7.0,7.0,28.0,355.0,2.0,2.0,11.0,,1.0,2.0,7.0,33.0,,2.0,2.0,10.0,14.0,2.0,349.0,8.0,5.0,17.0,17.0,6.0,4.0,5.0,225.0,14.0,14.0,6.0,16.0,3.0,2.0,29.0,4.0,2.0,9.0,9.0,8.0,13.0,2.0,11.0,29.0,20.0,24.0,,6.0,3.0,,1.0,,3.0,4.0,120.0,1.0,164.0,21.0,9.0,13.0,,2.0,94.0,1.0,392.0,23.0,7.0,,7.0,2.0,86.0,2.0,7.0,13.0,,15.0,5.0,20.0,58.0,250.0,2.0,3.0,11.0,29.0,6.0,7.0,2.0,390.0,4.0,549.0,14.0,2.0,7.0,18.0,14.0,286.0,22.0,28.0,30.0,8.0,7.0,7.0,2.0,19.0,5.0,119.0,322.0,10.0,232.0,3.0,44.0,8.0,8.0,11.0,5.0,20.0,207.0,93.0,2.0,4.0,8.0,9.0,,16.0,7.0,1.0,8.0,27.0,4.0,345.0,115.0,1.0,,7.0,3.0,131.0,59.0,51.0,52.0,2.0,52.0,864.0,31.0,2.0,,2.0,2.0,1.0,69.0,145.0,,4.0,199.0,427.0,17.0,2.0,2.0,72.0,2.0,15.0,,10.0,2.0,2.0,25.0,38.0,14.0,5.0,2.0,7.0,100.0,3.0,50.0,2.0,35.0,8.0,22.0,3.0,7.0,79.0,3.0,196.0,85.0,19.0,17.0,14.0,7.0,2.0,2.0,29.0,325.0,449.0,19.0,5.0,19.0,3.0,115.0,5.0,69.0,280.0,107.0,2.0,121.0,4.0,,3.0,10.0,147.0,,10.0,2.0,2.0,2.0,2.0,23.0,,10.0,3.0,191.0,7.0,9.0,41.0,40.0,6.0,2.0,3.0,8.0,18.0,1.0,3.0,13.0,2.0,,29.0,2.0,6.0
2015-12-10,7.0,7.0,53.0,2.0,3.0,,5.0,4.0,10.0,1.0,1.0,10.0,8.0,,29.0,2.0,8.0,41.0,2.0,5.0,1074.0,8.0,133.0,7.0,5.0,11.0,58.0,3.0,,9.0,3.0,1.0,37.0,7.0,11.0,2.0,2.0,9.0,149.0,39.0,334.0,3.0,3.0,3.0,2.0,7.0,2.0,2.0,22.0,13.0,57.0,61.0,269.0,7.0,17.0,18.0,2.0,2.0,15.0,7.0,36.0,21.0,2.0,,104.0,8.0,326.0,76.0,7.0,2.0,1.0,22.0,4.0,3.0,12.0,8.0,3.0,64.0,5.0,4.0,202.0,27.0,3.0,239.0,590.0,686.0,4.0,,7.0,8.0,28.0,362.0,2.0,2.0,11.0,,1.0,2.0,7.0,34.0,,2.0,2.0,10.0,14.0,2.0,358.0,8.0,5.0,18.0,18.0,6.0,4.0,5.0,232.0,14.0,14.0,6.0,16.0,3.0,2.0,29.0,4.0,2.0,9.0,9.0,9.0,13.0,2.0,12.0,29.0,19.0,23.0,,6.0,3.0,,1.0,,3.0,4.0,121.0,2.0,164.0,22.0,10.0,14.0,,2.0,94.0,1.0,441.0,25.0,7.0,,7.0,2.0,88.0,2.0,7.0,13.0,,17.0,5.0,22.0,59.0,265.0,2.0,3.0,11.0,29.0,6.0,8.0,2.0,401.0,4.0,562.0,15.0,3.0,7.0,19.0,16.0,289.0,25.0,28.0,31.0,8.0,7.0,7.0,2.0,20.0,5.0,120.0,334.0,9.0,232.0,3.0,45.0,7.0,8.0,11.0,5.0,20.0,213.0,94.0,2.0,4.0,10.0,9.0,,17.0,6.0,1.0,8.0,26.0,6.0,350.0,118.0,,,7.0,3.0,132.0,59.0,53.0,52.0,2.0,53.0,891.0,30.0,2.0,1.0,2.0,2.0,1.0,69.0,148.0,,4.0,200.0,431.0,17.0,2.0,2.0,78.0,2.0,15.0,,10.0,2.0,2.0,27.0,38.0,14.0,5.0,2.0,7.0,102.0,3.0,53.0,2.0,35.0,8.0,24.0,3.0,7.0,87.0,3.0,205.0,90.0,19.0,17.0,14.0,7.0,2.0,2.0,29.0,327.0,465.0,19.0,5.0,19.0,3.0,118.0,5.0,72.0,292.0,110.0,2.0,127.0,5.0,,3.0,10.0,147.0,,10.0,2.0,2.0,2.0,2.0,23.0,,10.0,3.0,196.0,7.0,9.0,42.0,43.0,6.0,2.0,3.0,8.0,19.0,,3.0,13.0,2.0,,29.0,2.0,6.0
